code,ballot,winner,valid,spoilt
RSA,N,ANC,17680729,239237
RSA,P,ANC,17165784,223462
EC,N,ANC,2309643,34455
EC,P,ANC,2256088,32299
FS,N,ANC,1051858,17269
FS,P,ANC,1033322,15744
GT,N,ANC,4345613,46086
GT,P,ANC,4157048,42815
KZ,N,ANC,3527234,47092
KZ,P,ANC,3482987,43713
LP,N,ANC,1547636,22956
LP,P,ANC,1491072,22549
MP,N,ANC,1343253,20583
MP,P,ANC,1297775,19119
NC,N,ANC,414502,6988
NC,P,ANC,404418,6190
NW,N,ANC,1113411,22290
NW,P,ANC,1075323,21007
WC,N,DA,2027579,21518
WC,P,DA,1967751,20026
CPT,N,DA,1348762,13614
CPT,P,DA,1313502,12720
DC1,N,DA,109300,1127
DC1,P,DA,106633,1082
DC10,N,ANC,173603,2159
DC10,P,ANC,170186,2148
DC12,N,ANC,640197,8682
DC12,P,ANC,627594,8393
DC13,N,ANC,277295,4452
DC13,P,ANC,267373,4305
DC14,N,ANC,114346,2136
DC14,P,ANC,109927,2051
DC15,N,ANC,524704,8738
DC15,P,ANC,508635,8030
DC16,N,ANC,45755,704
DC16,P,ANC,44865,670
DC17,N,ANC,320946,4427
DC17,P,ANC,317184,4285
DC18,N,ANC,236394,3941
DC18,P,ANC,232070,3741
DC19,N,ANC,261748,5105
DC19,P,ANC,256959,4265
DC2,N,DA,244409,2980
DC2,P,DA,238490,2781
DC20,N,ANC,186717,3084
DC20,P,ANC,182244,2783
DC21,N,ANC,254579,4046
DC21,P,ANC,248893,3629
DC22,N,ANC,368700,4164
DC22,P,ANC,366355,3814
DC23,N,ANC,203581,3070
DC23,P,ANC,200393,2927
DC24,N,ANC,146343,2521
DC24,P,IFP,143748,2328
DC25,N,ANC,144261,2529
DC25,P,ANC,141650,2407
DC26,N,IFP,242719,3058
DC26,P,IFP,238559,2697
DC27,N,ANC,186134,2952
DC27,P,IFP,184921,2585
DC28,N,ANC,313505,4384
DC28,P,ANC,311370,4081
DC29,N,ANC,202002,3180
DC29,P,ANC,199590,3009
DC3,N,DA,89138,1107
DC3,P,DA,85274,995
DC30,N,ANC,353432,5740
DC30,P,ANC,342455,5387
DC31,N,ANC,441717,7153
DC31,P,ANC,422655,6943
DC32,N,ANC,547891,7683
DC32,P,ANC,532665,6789
DC33,N,ANC,340323,4472
DC33,P,ANC,330901,4626
DC34,N,ANC,378962,4988
DC34,P,ANC,369614,4809
DC35,N,ANC,334673,5224
DC35,P,ANC,324381,4808
DC36,N,ANC,199857,3061
DC36,P,ANC,189441,2895
DC37,N,ANC,485475,8733
DC37,P,ANC,461960,8394
DC38,N,ANC,241132,5803
DC38,P,ANC,237019,5327
DC39,N,ANC,144029,4040
DC39,P,ANC,140148,3870
DC4,N,DA,208806,2343
DC4,P,DA,200244,2165
DC40,N,ANC,242544,3690
DC40,P,ANC,236196,3416
DC42,N,ANC,342592,3852
DC42,P,ANC,334996,3810
DC43,N,ANC,149146,2206
DC43,P,ANC,146587,1872
DC44,N,ANC,124431,2612
DC44,P,ANC,120966,2053
DC45,N,ANC,75731,1764
DC45,P,ANC,73909,1559
DC46,N,ANC,81796,845
DC46,P,ANC,74307,714
DC47,N,ANC,293733,5202
DC47,P,ANC,276735,5411
DC48,N,ANC,301523,3578
DC48,P,ANC,285232,3281
DC5,N,ANC,24004,314
DC5,P,DA,23608,283
DC6,N,ANC,46884,500
DC6,P,ANC,45914,439
DC7,N,ANC,70475,1171
DC7,P,ANC,68795,1085
DC8,N,ANC,80533,1271
DC8,P,ANC,78635,1092
DC9,N,ANC,140779,2266
DC9,P,ANC,137165,2015
EKU,N,ANC,1109337,11431
EKU,P,ANC,1067335,11028
ETH,N,ANC,1315222,14962
ETH,P,ANC,1300921,14364
JHB,N,ANC,1546041,16563
JHB,P,ANC,1483848,15590
NMA,N,ANC,454456,5667
NMA,P,ANC,451407,5319
TSH,N,ANC,960210,9305
TSH,P,ANC,911330,8392
EC101,N,ANC,15153,232
EC101,P,ANC,14842,214
EC102,N,ANC,13228,173
EC102,P,ANC,13050,179
EC103,N,ANC,3978,82
EC103,P,ANC,3973,55
EC104,N,ANC,35633,436
EC104,P,ANC,34917,442
EC105,N,ANC,26954,237
EC105,P,ANC,26418,254
EC106,N,ANC,20803,238
EC106,P,ANC,20592,240
EC107,N,ANC,5056,78
EC107,P,DA,5003,64
EC108,N,ANC,37847,506
EC108,P,ANC,36698,512
EC109,N,ANC,13108,148
EC109,P,ANC,13018,152
EC121,N,ANC,78812,1268
EC121,P,ANC,76233,1273
EC122,N,ANC,88412,1420
EC122,P,ANC,85700,1355
EC123,N,ANC,17319,192
EC123,P,ANC,16983,182
EC124,N,ANC,48775,669
EC124,P,ANC,47686,636
EC125,N,ANC,312693,3785
EC125,P,ANC,308336,3660
EC126,N,ANC,31931,473
EC126,P,ANC,31505,486
EC127,N,ANC,53219,648
EC127,P,ANC,52241,619
EC128,N,ANC,9036,227
EC128,P,ANC,8910,182
EC131,N,ANC,23014,354
EC131,P,ANC,22659,317
EC132,N,ANC,12359,203
EC132,P,ANC,11832,236
EC133,N,ANC,7931,119
EC133,P,ANC,7737,102
EC134,N,ANC,69189,969
EC134,P,ANC,67157,981
EC135,N,ANC,56618,973
EC135,P,ANC,54626,1008
