code,name,layer,parent,regd
RSA,South Africa,0,,23181997
EC,Eastern Cape,1,RSA,3056559
FS,Free State,1,RSA,1388588
GT,Gauteng,1,RSA,5555159
KZ,KwaZulu-Natal,1,RSA,4475217
LP,Limpopo,1,RSA,2256073
MP,Mpumalanga,1,RSA,1696705
NC,Northern Cape,1,RSA,554900
NW,North West,1,RSA,1564357
WC,Western Cape,1,RSA,2634439
CPT,City of Cape Town Metro,2,WC,1719878
DC1,West Coast District,2,WC,151640
DC10,Cacadu District,2,EC,223886
DC12,Amatole District,2,EC,823084
DC13,Chris Hani District,2,EC,369864
DC14,Ukhahlamba District,2,EC,153469
DC15,O.R.Tambo District,2,EC,746017
DC16,Xhariep District,2,FS,59931
DC17,Motheo District,2,FS,412743
DC18,Lejweleputswa District,2,FS,316371
DC19,Thabo Mofutsanyane District,2,FS,353096
DC2,Cape Winelands District,2,WC,337629
DC20,Fezile Dabi District,2,FS,246447
DC21,Ugu District,2,KZ,321621
DC22,UMgungundlovu District,2,KZ,451606
DC23,Uthukela District,2,KZ,264709
DC24,Umzinyathi District,2,KZ,195639
DC25,Amajuba District,2,KZ,191346
DC26,Zululand District,2,KZ,314289
DC27,Umkhanyakude District,2,KZ,245521
DC28,Uthungulu District,2,KZ,396010
DC29,iLembe District,2,KZ,260496
DC3,Overberg District,2,WC,118171
DC30,Gert Sibande District,2,MP,442775
DC31,Nkangala District,2,MP,568232
DC32,Ehlanzeni District,2,MP,685698
DC33,Mopani District,2,LP,479521
DC34,Vhembe District,2,LP,554317
DC35,Capricorn District,2,LP,503032
DC36,Waterberg District,2,LP,281715
DC37,Bojanala District,2,NW,672750
DC38,Central District,2,NW,354350
DC39,Bophirima District,2,NW,211126
DC4,Eden District,2,WC,274684
DC40,Southern District,2,NW,326131
DC42,Sedibeng District,2,GT,432427
DC43,Sisonke District,2,KZ,194827
DC44,Alfred Nzo District,2,EC,173571
DC45,Kgalagadi District,2,NC,104411
DC46,Metsweding District,2,GT,92503
DC47,Greater Sekhukhune District,2,LP,437488
DC48,West Rand District,2,GT,387557
DC5,Central Karoo District,2,WC,32437
DC6,Namakwa District,2,NC,64647
DC7,Pixley ka Seme District,2,NC,94059
DC8,Siyanda District,2,NC,108566
DC9,Frances Baard District,2,NC,183217
EKU,Ekurhuleni Metro,2,GT,1420748
ETH,eThekwini Metro,2,KZ,1639153
JHB,City of Johannesburg Metro,2,GT,2003007
NMA,Nelson Mandela Bay Metro,2,EC,566668
TSH,City of Tshwane Metro,2,GT,1218917
EC101,Camdeboo Municipality,3,DC10,22260
EC102,Blue Crane Route Municipality,3,DC10,17729
EC103,Ikwezi Municipality,3,DC10,5687
EC104,Makana Municipality,3,DC10,45451
EC105,Ndlambe Municipality,3,DC10,32311
EC106,Sunday's River Valley Municipality,3,DC10,24611
EC107,Baviaans Municipality,3,DC10,7561
EC108,Kouga Municipality,3,DC10,47674
EC109,Kou-Kamma Municipality,3,DC10,18180
EC121,Mbhashe Municipality,3,DC12,106755
EC122,Mnquma Municipality,3,DC12,120340
EC123,Great Kei Municipality,3,DC12,21428
EC124,Amahlathi Municipality,3,DC12,63904
EC125,Buffalo City Municipality,3,DC12,387452
EC126,Ngqushwa Municipality,3,DC12,41921
EC127,Nkonkobe Municipality,3,DC12,68582
EC128,Nxuba Municipality,3,DC12,12702
EC131,Inxuba Yethemba Municipality,3,DC13,30091
EC132,Tsolwana Municipality,3,DC13,16414
EC133,Inkwanca Municipality,3,DC13,10246
EC134,Lukanji Municipality,3,DC13,89981
EC135,Intsika Yethu Municipality,3,DC13,78092
EC136,Emalahleni Municipality,3,DC13,55958
EC137,Engcobo Municipality,3,DC13,60762
EC138,Sakhisizwe Municipality,3,DC13,28289
EC141,Elundini Municipality,3,DC14,56704
EC142,Senqu Municipality,3,DC14,61221
EC143,Maletswai Municipality,3,DC14,20066
EC144,Gariep Municipality,3,DC14,15478
EC151,Mbizana Municipality,3,DC15,111041
EC152,Ntabankulu Municipality,3,DC15,61597
EC153,Qaukeni Municipality,3,DC15,117866
EC154,Port St Johns Municipality,3,DC15,64819
