code,ballot,party,votes
RSA,N,ACDP,142658
RSA,N,AFD,5178
RSA,N,AJ,25947
RSA,N,ANC,11650748
RSA,N,AP,2847
RSA,N,APC,35867
RSA,N,AZAPO,38245
RSA,N,CDA,11638
RSA,N,COPE,1311027
RSA,N,DA,2945829
RSA,N,GKSA,8271
RSA,N,ID,162915
RSA,N,IFP,804260
RSA,N,KISS,5440
RSA,N,MDP,29747
RSA,N,MF,43474
RSA,N,NADECO,10830
RSA,N,NVP,9296
RSA,N,PAC,48530
RSA,N,PAM,5426
RSA,N,SADECO,6035
RSA,N,UCDP,66086
RSA,N,UDM,149680
RSA,N,UIF,8872
RSA,N,VF+,146796
RSA,N,WF,5087
RSA,P,ACA,4291
RSA,P,ACDP,136379
RSA,P,AFD,2142
RSA,P,AIC,17306
RSA,P,AJ,16651
RSA,P,AMP,4333
RSA,P,ANC,11168125
RSA,P,APC,33474
RSA,P,AZAPO,28535
RSA,P,BCP,1432
RSA,P,CAPE,2552
RSA,P,CDA,9032
RSA,P,COPE,1256133
RSA,P,CP,2435
RSA,P,DA,2873502
RSA,P,DPSA,11257
RSA,P,GKSA,3639
RSA,P,ID,164171
RSA,P,IFP,857395
RSA,P,MDP,10163
RSA,P,MF,71507
RSA,P,NA,1996
RSA,P,NADECO,14285
RSA,P,NP,3378
RSA,P,NVP,8857
RSA,P,PAC,51226
RSA,P,PAM,1921
RSA,P,PJC,1028
RSA,P,SADECO,3883
RSA,P,SAPP,1832
RSA,P,SPP,6423
RSA,P,UCDP,82608
RSA,P,UDM,149994
RSA,P,UIF,2947
RSA,P,UP,599
RSA,P,VF+,152134
RSA,P,WF,4767
RSA,P,XP,3452
EC,N,ACDP,13750
EC,N,AFD,459
EC,N,AJ,966
EC,N,ANC,1609926
EC,N,AP,346
EC,N,APC,6029
EC,N,AZAPO,4614
EC,N,CDA,1838
EC,N,COPE,307437
EC,N,DA,230187
EC,N,GKSA,1023
EC,N,ID,10502
EC,N,IFP,2080
EC,N,KISS,526
EC,N,MDP,2748
EC,N,MF,598
EC,N,NADECO,1241
EC,N,NVP,966
EC,N,PAC,11925
EC,N,PAM,1701
EC,N,SADECO,544
EC,N,UCDP,1652
EC,N,UDM,91227
EC,N,UIF,1508
EC,N,VF+,5490
EC,N,WF,360
EC,P,ACDP,11974
EC,P,AIC,17306
EC,P,ANC,1552676
EC,P,APC,4517
EC,P,AZAPO,4598
EC,P,CDA,1663
EC,P,COPE,308439
EC,P,DA,225310
EC,P,ID,10466
EC,P,IFP,2270
EC,P,NADECO,2027
EC,P,NVP,1281
EC,P,PAC,12108
EC,P,PAM,1921
EC,P,UCDP,1908
EC,P,UDM,93196
EC,P,VF+,4428
FS,N,ACDP,7410
FS,N,AFD,353
FS,N,AJ,323
FS,N,ANC,756287
FS,N,AP,182
FS,N,APC,3091
